Date,Price,Open,High,Low,Vol.,Change %
2016-10-07,633.6,637.77,638.03,631.93,,-0.44%
2016-10-06,636.4,634.95,637.49,632.57,,0.05%
2016-10-05,636.07,635.08,638.28,635.08,,0.39%
2016-10-04,633.62,636.4,638.14,632.1,,-0.32%
2016-10-03,635.67,634.33,636.72,632.95,,-0.05%
2016-09-30,635.96,632.77,637.86,632.55,,0.82%
2016-09-29,630.79,633.79,637.05,629.24,,-0.53%
2016-09-28,634.17,632.56,634.44,630.51,,0.30%
2016-09-27,632.25,626.67,632.33,625.98,,0.99%
2016-09-26,626.03,631.16,631.16,625.34,,-1.12%
2016-09-23,633.09,633.19,635.11,632.71,,-0.23%
2016-09-22,634.53,632.54,635.6,632.54,,0.77%
2016-09-21,629.67,625.23,630.16,622.99,,0.91%
2016-09-20,624.01,625.71,626.61,622.45,,0.10%
2016-09-19,623.41,625.61,627.63,622.08,,-0.11%
2016-09-16,624.07,624.52,624.52,621.28,,-0.16%
2016-09-15,625.07,619.92,625.63,618.08,,0.69%
2016-09-14,620.78,621.18,624.34,619.06,,0.03%
2016-09-13,620.59,626.7,626.7,618.78,,-1.51%
2016-09-12,630.08,618.53,631.29,618.28,,1.44%
2016-09-09,621.11,632.71,632.71,621.11,,-2.46%
2016-09-08,636.75,639.74,639.74,635.75,,-0.78%
2016-09-07,641.74,641.33,642.17,639.37,,0.00%
2016-09-06,641.73,640.94,641.78,637.71,,0.16%
2016-09-02,640.71,642.05,643.21,639.46,,0.14%
2016-09-01,639.79,639.47,640.93,636.2,,0.18%
2016-08-31,638.63,639.5,640.59,636.1,,-0.25%
2016-08-30,640.22,643.16,643.57,639.1,,-0.56%
2016-08-29,643.83,642.3,644.93,642.3,,0.31%
2016-08-26,641.86,643.9,647.09,639.26,,-0.27%
2016-08-25,643.6,644.6,645.89,642.74,,-0.37%
2016-08-24,645.98,648.66,649.9,644.76,,-0.45%
2016-08-23,648.87,648.65,649.87,648.04,,0.48%
2016-08-22,645.75,646.12,646.78,644.04,,-0.09%
2016-08-19,646.31,645.66,647.86,644.26,,-0.03%
2016-08-18,646.49,646.88,647.53,645.14,,-0.05%
2016-08-17,646.83,647.71,647.72,642.78,,-0.20%
2016-08-16,648.15,650.87,650.98,647.76,,-0.54%
2016-08-15,651.7,651.42,653.59,651.42,,0.13%
2016-08-12,650.87,650.06,652.25,648.91,,-0.03%
2016-08-11,651.06,645.69,651.76,645.69,,1.03%
2016-08-10,644.45,643.86,646.38,643.25,,0.22%
2016-08-09,643.05,645.11,646.41,642.1,,-0.33%
2016-08-08,645.19,647.63,648.34,644.63,,-0.33%
2016-08-05,647.31,642.76,648.24,642.76,,1.07%
2016-08-04,640.45,639.51,641.91,638.35,,-0.05%
