Date,Price,Open,High,Low,Vol.,Change %
2015-04-23,"5,056.06","5,020.22","5,073.09","5,019.30",435.93M,0.41%
2015-04-22,"5,035.17","5,026.57","5,040.65","4,992.62",398.30M,0.42%
2015-04-21,"5,014.10","5,023.96","5,028.22","5,009.51",381.51M,0.39%
2015-04-20,"4,994.60","4,958.07","5,000.20","4,952.68",386.63M,1.27%
2015-04-17,"4,931.81","4,966.11","4,974.09","4,912.32",506.00M,-1.52%
2015-04-16,"5,007.79","4,999.36","5,016.00","4,996.00",383.97M,-0.06%
2015-04-15,"5,011.02","4,992.62","5,021.19","4,989.24",425.85M,0.68%
2015-04-14,"4,977.29","4,988.82","4,996.82","4,952.01",364.24M,-0.22%
2015-04-13,"4,988.25","5,001.56","5,024.25","4,985.96",369.22M,-0.15%
2015-04-10,"4,995.98","4,977.03","4,996.08","4,970.02",341.08M,0.43%
2015-04-09,"4,974.56","4,950.84","4,975.93","4,928.11",387.11M,0.48%
2015-04-08,"4,950.82","4,914.15","4,956.72","4,914.15",409.41M,0.83%
2015-04-07,"4,910.23","4,917.50","4,948.88","4,909.77",373.96M,-0.14%
2015-04-06,"4,917.32","4,855.94","4,929.62","4,852.91",466.90M,0.62%
2015-04-02,"4,886.94","4,885.41","4,901.32","4,872.96",383.83M,0.14%
2015-04-01,"4,880.23","4,894.36","4,899.38","4,844.39",457.08M,-0.42%
2015-03-31,"4,900.88","4,925.91","4,940.87","4,899.31",509.76M,-0.94%
2015-03-30,"4,947.44","4,921.78","4,948.46","4,921.12",419.66M,1.15%
2015-03-27,"4,891.22","4,863.74","4,899.26","4,859.65",429.39M,0.57%
2015-03-26,"4,863.36","4,835.72","4,889.21","4,825.93",488.34M,-0.27%
2015-03-25,"4,876.52","5,002.83","5,006.76","4,876.52",518.11M,-2.37%
2015-03-24,"4,994.73","5,010.10","5,032.48","4,994.56",383.80M,-0.32%
2015-03-23,"5,010.97","5,020.60","5,031.39","5,010.97",394.24M,-0.31%
2015-03-20,"5,026.42","5,033.47","5,042.14","5,020.06",1.07B,0.68%
2015-03-19,"4,992.38","4,982.02","5,000.02","4,979.94",388.56M,0.19%
2015-03-18,"4,982.83","4,926.83","5,001.57","4,907.72",473.04M,0.92%
2015-03-17,"4,937.44","4,912.65","4,944.91","4,907.02",415.82M,0.16%
2015-03-16,"4,929.51","4,897.27","4,929.94","4,889.09",417.73M,1.19%
2015-03-13,"4,871.76","4,885.54","4,904.47","4,842.80",439.59M,-0.44%
2015-03-12,"4,893.29","4,853.98","4,895.80","4,853.20",451.95M,0.89%
2015-03-11,"4,849.94","4,866.94","4,876.09","4,846.79",456.59M,-0.20%
2015-03-10,"4,859.80","4,899.51","4,903.44","4,859.80",460.96M,-1.67%
2015-03-09,"4,942.44","4,936.08","4,950.47","4,920.82",405.49M,0.31%
2015-03-06,"4,927.37","4,967.24","4,982.93","4,918.62",462.81M,-1.11%
2015-03-05,"4,982.81","4,979.95","4,993.52","4,963.10",417.03M,0.32%
2015-03-04,"4,967.14","4,961.24","4,973.32","4,938.90",433.19M,-0.26%
2015-03-03,"4,979.90","4,990.70","4,996.66","4,956.07",481.23M,-0.56%
2015-03-02,"5,008.10","4,973.43","5,008.57","4,972.01",468.54M,0.90%
2015-02-27,"4,963.53","4,985.03","4,989.25","4,960.88",485.69M,-0.49%
2015-02-26,"4,987.89","4,969.27","4,989.11","4,955.51",437.96M,0.42%
2015-02-25,"4,967.14","4,960.36","4,984.24","4,955.99",422.94M,-0.02%
2015-02-24,"4,968.12","4,956.21","4,971.18","4,945.14",429.64M,0.14%
2015-02-23,"4,960.97","4,953.10","4,960.97","4,939.56",452.05M,0.10%
2015-02-20,"4,955.97","4,919.78","4,957.02","4,905.59",456.72M,0.63%
2015-02-19,"4,924.70","4,901.51","4,929.53","4,900.63",380.21M,0.37%
2015-02-18,"4,906.36","4,890.84","4,907.50","4,885.60",410.20M,0.14%
2015-02-17,"4,899.27","4,889.98","4,901.89","4,880.64",450.15M,0.11%
2015-02-13,"4,893.84","4,869.73","4,893.84","4,860.12",455.86M,0.75%
2015-02-12,"4,857.61","4,828.08","4,857.61","4,823.57",480.02M,1.18%
2015-02-11,"4,801.18","4,788.37","4,810.36","4,780.13",433.80M,0.28%
2015-02-10,"4,787.65","4,754.62","4,793.27","4,737.12",441.96M,1.30%
2015-02-09,"4,726.01","4,723.73","4,749.47","4,719.61",411.22M,-0.39%
2015-02-06,"4,744.40","4,768.85","4,787.19","4,731.22",494.10M,-0.43%
2015-02-05,"4,765.10","4,729.65","4,767.38","4,722.80",501.77M,1.03%
2015-02-04,"4,716.70","4,699.81","4,744.33","4,697.79",549.87M,-0.23%
2015-02-03,"4,727.74","4,693.25","4,727.74","4,670.82",553.80M,1.09%
2015-02-02,"4,676.69","4,650.60","4,676.69","4,580.46",525.39M,0.89%
2015-01-30,"4,635.24","4,671.20","4,703.81","4,631.10",638.81M,-1.03%
2015-01-29,"4,683.41","4,635.73","4,688.41","4,601.76",529.67M,0.98%
2015-01-28,"4,637.99","4,740.69","4,742.06","4,637.48",534.45M,-0.93%
2015-01-27,"4,681.50","4,698.23","4,721.88","4,659.83",469.34M,-1.89%
2015-01-26,"4,771.76","4,752.36","4,774.18","4,734.20",460.89M,0.29%
2015-01-23,"4,757.88","4,748.19","4,771.18","4,737.95",414.94M,0.16%
2015-01-22,"4,750.40","4,690.93","4,752.60","4,644.57",515.53M,1.78%
2015-01-21,"4,667.42","4,641.95","4,692.46","4,629.59",463.22M,0.27%
2015-01-20,"4,654.85","4,655.84","4,665.65","4,601.10",473.62M,0.44%
2015-01-16,"4,634.38","4,566.38","4,635.82","4,563.11",548.60M,1.39%
2015-01-15,"4,570.82","4,657.46","4,663.96","4,567.39",525.69M,-1.48%
2015-01-14,"4,639.32","4,610.76","4,655.37","4,595.98",527.38M,-0.48%
2015-01-13,"4,661.50","4,708.74","4,751.34","4,624.28",566.52M,-0.07%
2015-01-12,"4,664.71","4,714.07","4,715.81","4,650.65",491.28M,-0.84%
2015-01-09,"4,704.07","4,744.47","4,744.71","4,681.24",430.67M,-0.68%
2015-01-08,"4,736.19","4,689.54","4,741.38","4,688.02",548.10M,1.84%
2015-01-07,"4,650.47","4,626.84","4,652.72","4,613.90",482.51M,1.26%
2015-01-06,"4,592.74","4,666.85","4,667.33","4,567.60",553.62M,-1.29%
2015-01-05,"4,652.57","4,700.34","4,702.77","4,641.46",476.45M,-1.57%
2015-01-02,"4,726.81","4,760.24","4,777.01","4,698.11",367.74M,-0.20%
2014-12-31,"4,736.05","4,790.53","4,806.43","4,734.11",422.14M,-0.87%
2014-12-30,"4,777.44","4,793.61","4,803.89","4,772.88",316.50M,-0.61%
2014-12-29,"4,806.91","4,801.26","4,813.72","4,798.90",312.34M,0.00%
2014-12-26,"4,806.86","4,788.06","4,814.95","4,787.85",264.82M,0.70%
2014-12-24,"4,773.47","4,770.12","4,787.57","4,768.67",195.60M,0.17%
2014-12-23,"4,765.42","4,798.03","4,798.06","4,761.39",405.38M,-0.33%
2014-12-22,"4,781.42","4,759.04","4,781.93","4,757.81",450.59M,0.34%
2014-12-19,"4,765.38","4,752.60","4,782.13","4,738.29",1.29B,0.36%
2014-12-18,"4,748.40","4,712.39","4,748.40","4,697.09",553.98M,2.24%
2014-12-17,"4,644.31","4,556.90","4,651.90","4,550.70",573.50M,2.12%
2014-12-16,"4,547.83","4,572.79","4,645.19","4,547.31",587.10M,-1.24%
2014-12-15,"4,605.16","4,679.67","4,690.58","4,592.43",568.38M,-1.04%
2014-12-12,"4,653.60","4,665.35","4,707.92","4,653.60",489.47M,-1.16%
2014-12-11,"4,708.16","4,704.65","4,759.88","4,699.43",448.12M,0.52%
2014-12-10,"4,684.02","4,754.42","4,766.64","4,679.24",481.57M,-1.73%
2014-12-09,"4,766.47","4,685.20","4,768.41","4,674.38",484.64M,0.54%
2014-12-08,"4,740.69","4,769.76","4,793.24","4,722.91",497.78M,-0.84%
2014-12-05,"4,780.76","4,776.57","4,788.98","4,769.64",449.46M,0.24%
2014-12-04,"4,769.44","4,772.00","4,785.41","4,753.71",448.63M,-0.11%
2014-12-03,"4,774.47","4,761.31","4,781.37","4,745.14",450.70M,0.39%
2014-12-02,"4,755.81","4,732.97","4,761.63","4,729.76",460.39M,0.60%
2014-12-01,"4,727.35","4,777.73","4,782.07","4,724.62",481.09M,-1.34%
2014-11-28,"4,791.63","4,797.10","4,810.86","4,786.72",300.15M,0.09%
2014-11-26,"4,787.32","4,760.23","4,788.00","4,757.48",351.09M,0.61%
2014-11-25,"4,758.25","4,762.39","4,774.52","4,749.92",491.47M,0.07%
2014-11-24,"4,754.89","4,725.17","4,755.02","4,723.62",413.33M,0.89%
2014-11-21,"4,712.97","4,751.01","4,751.60","4,700.73",550.29M,0.24%
2014-11-20,"4,701.87","4,655.20","4,702.97","4,653.32",411.10M,0.56%
2014-11-19,"4,675.71","4,694.78","4,696.20","4,655.72",427.48M,-0.57%
2014-11-18,"4,702.44","4,674.84","4,709.83","4,674.30",421.88M,0.67%
