date,nasdaqndxt,vix,vxazn,vxn,vix3m,vix_term_spread,vxazn_vix_ratio,nasdaqndxt_lag1,nasdaqndxt_delta,vix_lag1,vix_delta,vxazn_lag1,vxazn_delta,vxn_lag1,vxn_delta,vix3m_lag1,vix3m_delta,amzn_return_lag1,aggregate_vol_index,amzn_close,amzn_next_return,label,score_range
2022-04-11,1067.0366,3.3795,6.2251,4.2643,3.7442,-0.3647,1.8420,1178.1167,-111.0801,2.5752,0.8043,4.7884,1.4367,3.4572,0.8071,3.1937,0.5505,-0.0178,0.3479,151.7065,-0.0485,Negative,1
2022-04-18,1056.0993,3.0744,5.7578,4.0951,3.5709,-0.4965,1.8728,1067.0366,-10.9373,3.3795,-0.3051,6.2251,-0.4673,4.2643,-0.1692,3.7442,-0.1733,-0.0485,0.3230,144.3500,-0.1390,Negative,1
2022-04-25,1029.0659,3.7470,6.7354,4.6914,4.0313,-0.2843,1.7976,1056.0993,-27.0333,3.0744,0.6726,5.7578,0.9777,4.0951,0.5963,3.5709,0.4604,-0.1390,0.3791,124.2815,-0.0765,Negative,1
2022-05-02,1009.9621,4.4848,6.5468,5.2433,4.5777,-0.0929,1.4598,1029.0659,-19.1039,3.7470,0.7378,6.7354,-0.1886,4.6914,0.5519,4.0313,0.5464,-0.0765,0.4135,114.7725,-0.0150,Negative,1
2022-05-09,899.1815,4.8190,7.9489,5.7453,4.8606,-0.0416,1.6495,1009.9621,-110.7806,4.4848,0.3342,6.5468,1.4020,5.2433,0.5020,4.5777,0.2829,-0.0150,0.4584,113.0550,-0.0483,Negative,1
2022-05-16,919.1895,3.8094,7.5148,5.1920,4.0923,-0.2829,1.9727,899.1815,20.0080,4.8190,-1.0096,7.9489,-0.4341,5.7453,-0.5533,4.8606,-0.7683,-0.0483,0.3996,107.5910,0.0702,Positive,3
2022-05-23,924.1305,3.9495,7.5564,4.8786,4.2005,-0.2510,1.9133,919.1895,4.9410,3.8094,0.1401,7.5148,0.0416,5.1920,-0.3134,4.0923,0.1082,0.0702,0.4000,115.1465,0.0626,Positive,3
2022-05-30,989.8292,3.6804,6.5011,4.4376,3.8857,-0.2052,1.7664,924.1305,65.6987,3.9495,-0.2690,7.5564,-1.0553,4.8786,-0.4410,4.2005,-0.3148,0.0626,0.3605,122.3500,-0.1038,Negative,1
2022-06-06,983.1922,3.4766,6.4317,4.4598,3.7747,-0.2982,1.8500,989.8292,-6.6370,3.6804,-0.2039,6.5011,-0.0693,4.4376,0.0222,3.8857,-0.1109,-0.1038,0.3520,109.6500,-0.0313,Negative,1
2022-06-13,861.0680,4.7177,7.8878,5.5969,4.7482,-0.0305,1.6720,983.1922,-122.1242,3.4766,1.2411,6.4317,1.4561,4.4598,1.1371,3.7747,0.9735,-0.0313,0.4459,106.2200,0.0964,Positive,3
2022-06-20,852.0888,4.3031,6.9837,5.0838,4.4875,-0.1844,1.6229,861.0680,-8.9792,4.7177,-0.4146,7.8878,-0.9042,5.5969,-0.5131,4.7482,-0.2607,0.0964,0.4003,116.4600,-0.0592,Negative,1
