date,amzn,amzn_volume,amzn_change_pct,ixic,ixic_volume,ixic_change_pct,nasdaqndxt,sp500_25,sp500_25_change_pct,spx,spx_change_pct,vixcls,vxazn,amzn_lag1,amzn_delta,amzn_volume_lag1,amzn_volume_delta,amzn_change_pct_lag1,amzn_change_pct_delta,ixic_lag1,ixic_delta,ixic_volume_lag1,ixic_volume_delta,ixic_change_pct_lag1,ixic_change_pct_delta,nasdaqndxt_lag1,nasdaqndxt_delta,sp500_25_lag1,sp500_25_delta,sp500_25_change_pct_lag1,sp500_25_change_pct_delta,spx_lag1,spx_delta,spx_change_pct_lag1,spx_change_pct_delta,vixcls_lag1,vixcls_delta,vxazn_lag1,vxazn_delta,amzn_next_return,stage1_significant,stage2_direction,label
2011-02-15,9.45,18.16990903837085,-0.74,2804.35,20.020270322351447,-0.46,1500.93,311.5,0.14,1328.0,-0.32,16.37,32.38,9.52,-0.07,18.215008685833663,-3590000.0,0.63,-1.37,2817.18,-12.83,19.965900086192466,26200000.0,0.28,-0.74,1510.1,-9.17,311.08,0.42,-0.4,0.54,1332.3,-4.3,0.23,-0.55,15.95,0.42,32.69,-0.31,-0.0127,0,0,Neutral
2011-02-16,9.33,18.34444744874492,-1.27,2825.56,20.088444168568778,0.76,1516.01,314.0,0.8,1336.3,0.63,16.72,32.68,9.45,-0.12,18.16990903837085,14840000.0,-0.74,-0.53,2804.35,21.21,20.020270322351447,34930000.0,-0.46,1.22,1500.93,15.08,311.5,2.5,0.14,0.66,1328.0,8.3,-0.32,0.95,16.37,0.35,32.38,0.3,0.0064,0,1,Neutral
2011-02-17,9.39,18.042782178154155,0.64,2831.58,19.94303455166133,0.21,1524.13,314.4,0.13,1340.4,0.31,16.59,32.94,9.33,0.06,18.34444744874492,-24130000.0,-1.27,1.91,2825.56,6.02,20.088444168568778,-71730000.0,0.76,-0.55,1516.01,8.12,314.0,0.4,0.8,-0.67,1336.3,4.1,0.63,-0.32,16.72,-0.13,32.68,0.26,-0.0075,0,0,Neutral
2011-02-18,9.32,18.241554090016653,-0.75,2833.95,20.208482392999354,0.08,1526.59,315.79,0.44,1343.0,0.19,16.43,31.35,9.39,-0.07,18.042782178154155,15070000.0,0.64,-1.39,2831.58,2.37,19.94303455166133,139330000.0,0.21,-0.13,1524.13,2.46,314.4,1.39,0.13,0.31,1340.4,2.6,0.31,-0.12,16.59,-0.16,32.94,-1.59,-0.0322,1,0,Negative
2011-02-22,9.02,18.541038249482135,-3.22,2756.42,20.169915382504488,-2.74,1470.41,308.27,-2.38,1315.4,-2.06,20.8,34.98,9.32,-0.3,18.241554090016653,29190000.0,-0.75,-2.47,2833.95,-77.53,20.208482392999354,-22610000.0,0.08,-2.82,1526.59,-56.18,315.79,-7.52,0.44,-2.82,1343.0,-27.6,0.19,-2.25,16.43,4.37,31.35,3.63,-0.0211,1,0,Negative
2011-02-23,8.83,18.513806731052636,-2.11,2722.99,20.193070493866056,-1.21,1443.07,303.71,-1.48,1307.4,-0.61,22.13,35.79,9.02,-0.19,18.541038249482135,-3030000.0,-3.22,1.11,2756.42,-33.43,20.169915382504488,13470000.0,-2.74,1.53,1470.41,-27.34,308.27,-4.56,-2.38,0.9,1315.4,-8.0,-2.06,1.45,20.8,1.33,34.98,0.81,0.0068,0,1,Neutral
2011-02-24,8.89,18.35047285963618,0.68,2737.9,20.1063386841511,0.55,1456.94,305.18,0.48,1306.1,-0.1,21.32,35.51,8.83,0.06,18.513806731052636,-16540000.0,-2.11,2.79,2722.99,14.91,20.193070493866056,-48890000.0,-1.21,1.76,1443.07,13.87,303.71,1.47,-1.48,1.96,1307.4,-1.3,-0.61,0.51,22.13,-0.81,35.79,-0.28,-0.0034,0,0,Neutral
2011-02-25,8.86,18.24501698674285,-0.34,2781.05,19.965260086171984,1.58,1489.18,308.41,1.06,1319.9,1.06,19.22,34.03,8.89,-0.03,18.35047285963618,-9330000.0,0.68,-1.02,2737.9,43.15,20.1063386841511,-71000000.0,0.55,1.03,1456.94,32.24,305.18,3.23,0.48,0.58,1306.1,13.8,-0.1,1.16,21.32,-2.1,35.51,-1.48,-0.0226,1,0,Negative
2011-02-28,8.66,18.726399186256184,-2.26,2782.27,20.1711319910957,0.04,1480.11,310.37,0.64,1327.2,0.55,18.35,35.13,8.86,-0.2,18.24501698674285,51870000.0,-0.34,-1.92,2781.05,1.22,19.965260086171984,107120000.0,1.58,-1.54,1489.18,-9.07,308.41,1.96,1.06,-0.42,1319.9,7.3,1.06,-0.51,19.22,-0.87,34.03,1.1,-0.0219,1,0,Negative
2011-03-01,8.47,18.577257059545126,-2.19,2737.41,20.179228080697257,-1.61,1452.16,304.94,-1.75,1306.3,-1.57,21.01,36.53,8.66,-0.19,18.726399186256184,-18810000.0,-2.26,0.07,2782.27,-44.86,20.1711319910957,4680000.0,0.04,-1.65,1480.11,-27.95,310.37,-5.43,0.64,-2.39,1327.2,-20.9,0.55,-2.12,18.35,2.66,35.13,1.4,0.0153,1,1,Positive
